"","participant","predicate","predicate_number","context","context_number","response"
"76",3,"inform",12,"10L",36,0.39
"77",3,"be right",6,"20H",3,0.57
"78",3,"see",19,"9L",16,0.41
"79",4,"confirm",4,"16H",17,0.28
"80",4,"reveal",3,"18L",32,0.24
"81",4,"prove",2,"17H",21,0.59
"82",4,"say",8,"3H",33,0.73
"83",4,"admit",13,"14L",14,0.29
"84",4,"hear",16,"4H",40,0.38
"85",4,"be right",6,"8H",1,0.29
"87",4,"acknowledge",5,"1L",37,0.68
"88",4,"be annoyed",9,"15L",7,0.23
"89",4,"suggest",17,"20H",3,0.5
"90",4,"demonstrate",18,"5L",38,0.66
"91",4,"discover",14,"19L",4,0.29
"94",4,"establish",1,"6H",5,0.61
"96",4,"announce",10,"9L",16,0.71
"97",4,"think",7,"7L",19,0.68
"99",4,"see",19,"11L",11,0.21
"100",4,"confess",20,"2H",25,0.41
"102",4,"inform",12,"12H",2,0.72
"103",4,"pretend",15,"10H",18,0.52
"104",4,"know",11,"13L",26,0.31
"105",5,"be right",6,"3L",9,0.27
"106",5,"establish",1,"16L",31,0.25
"107",5,"confess",20,"11H",29,0.88
"110",5,"admit",13,"14L",14,0.05
"111",5,"announce",10,"8L",23,0.17
"112",5,"discover",14,"2L",10,0.02
"113",5,"confirm",4,"1L",37,0.14
"114",5,"inform",12,"4L",12,0.15
"115",5,"prove",2,"12H",2,0.88
"116",5,"demonstrate",18,"18H",6,0.5
"117",5,"pretend",15,"10H",18,0.56
"118",5,"acknowledge",5,"20H",3,0.88
"121",5,"hear",16,"9L",16,0.4
"122",5,"suggest",17,"6H",5,0.81
"123",5,"see",19,"19H",39,0.9
"126",5,"say",8,"7L",19,0.02
"127",5,"know",11,"17H",21,0.93
"128",5,"think",7,"15L",7,0
"129",5,"be annoyed",9,"5H",20,0.75
"130",5,"reveal",3,"13H",8,0.9
"132",6,"reveal",3,"9H",35,0.87
"133",6,"establish",1,"8H",1,0.11
"134",6,"discover",14,"18H",6,0.55
"136",6,"say",8,"19H",39,0.91
"139",6,"prove",2,"7L",19,0.05
"140",6,"demonstrate",18,"20L",27,0.21
"141",6,"admit",13,"4L",12,0.1
"142",6,"know",11,"3H",33,0.62
"143",6,"confirm",4,"5L",38,0.23
"144",6,"be annoyed",9,"16L",31,0.1
"145",6,"be right",6,"13L",26,0.03
"146",6,"inform",12,"14H",22,0.85
"148",6,"hear",16,"2L",10,0.05
"149",6,"acknowledge",5,"10H",18,0.77
"150",6,"pretend",15,"1L",37,0.15
"151",6,"suggest",17,"6H",5,0.78
"152",6,"think",7,"15H",34,0.82
"153",6,"announce",10,"11L",11,0.27
"155",6,"see",19,"17H",21,0.95
"156",6,"confess",20,"12L",28,0.02
"157",7,"confess",20,"3H",33,0
"158",7,"reveal",3,"14H",22,0.01
"159",7,"pretend",15,"19H",39,0.01
"160",7,"prove",2,"1L",37,0.01
"162",7,"be right",6,"13L",26,0.02
"163",7,"hear",16,"9L",16,0.01
"165",7,"know",11,"2L",10,0
"166",7,"think",7,"18L",32,0
"169",7,"suggest",17,"7H",24,0.01
"170",7,"inform",12,"11H",29,0.01
"171",7,"acknowledge",5,"5H",20,0.01
"172",7,"see",19,"8L",23,0.01
"173",7,"be annoyed",9,"10L",36,0
"174",7,"establish",1,"4L",12,0
"175",7,"confirm",4,"17H",21,0.01
"176",7,"discover",14,"15H",34,0.01
"177",7,"announce",10,"16H",17,0
"179",7,"demonstrate",18,"12H",2,0
"180",7,"say",8,"20L",27,0
"182",7,"admit",13,"6L",30,0.01
"183",8,"establish",1,"9H",35,0.61
"185",8,"inform",12,"12L",28,0.93
"186",8,"see",19,"3H",33,0.94
"189",8,"say",8,"18H",6,0.33
"190",8,"know",11,"13L",26,0.82
"191",8,"acknowledge",5,"2L",10,0.97
"192",8,"be right",6,"17L",15,0
"193",8,"pretend",15,"4H",40,0.2
"194",8,"demonstrate",18,"11H",29,0.3
"195",8,"think",7,"15L",7,0.11
"196",8,"be annoyed",9,"5L",38,1
"197",8,"hear",16,"20H",3,0.97
"198",8,"reveal",3,"10H",18,0.98
"199",8,"prove",2,"1H",13,0.06
"200",8,"confess",20,"14L",14,0.56
"201",8,"suggest",17,"7H",24,0.06
"202",8,"admit",13,"6L",30,0.6
"204",8,"discover",14,"8L",23,0.97
"206",8,"confirm",4,"19H",39,0.34
"208",8,"announce",10,"16L",31,0.28
"235",9,"know",11,"14H",22,0.06
"236",9,"pretend",15,"19H",39,0.09
"237",9,"be annoyed",9,"5H",20,1
"238",9,"hear",16,"20H",3,0.74
"239",9,"announce",10,"7H",24,1
"241",9,"suggest",17,"6L",30,0.36
"242",9,"think",7,"16L",31,0.1
"243",9,"confess",20,"12H",2,0
"245",9,"inform",12,"1L",37,0.02
"247",9,"demonstrate",18,"13H",8,0.96
"249",9,"discover",14,"4L",12,0.09
"250",9,"reveal",3,"10H",18,0.69
"252",9,"prove",2,"11L",11,0.29
"253",9,"say",8,"2L",10,0.12
"254",9,"admit",13,"8H",1,1
"255",9,"confirm",4,"18H",6,0.52
"256",9,"see",19,"3L",9,0.26
"257",9,"acknowledge",5,"9L",16,0.16
"258",9,"establish",1,"15L",7,0.87
"259",9,"be right",6,"17L",15,0.49
"261",10,"know",11,"13H",8,1
"262",10,"see",19,"1L",37,1
"264",10,"establish",1,"11L",11,0
"265",10,"confirm",4,"14L",14,0
"266",10,"admit",13,"17L",15,0
"267",10,"pretend",15,"12H",2,0
"269",10,"hear",16,"20L",27,1
"270",10,"acknowledge",5,"5L",38,1
"271",10,"inform",12,"9L",16,1
"272",10,"think",7,"18L",32,0
"273",10,"demonstrate",18,"15H",34,0
"274",10,"discover",14,"2H",25,1
"275",10,"announce",10,"3H",33,0.27
"276",10,"say",8,"16L",31,0
"279",10,"reveal",3,"7H",24,1
"280",10,"confess",20,"8H",1,0.17
"281",10,"prove",2,"6L",30,0
"283",10,"be right",6,"19H",39,0
"284",10,"be annoyed",9,"10H",18,1
"285",10,"suggest",17,"4H",40,0
"289",11,"see",19,"18H",6,0.18
"292",11,"know",11,"16H",17,0.36
"293",11,"acknowledge",5,"4H",40,0.56
"294",11,"reveal",3,"6L",30,0.11
"295",11,"prove",2,"20L",27,0.21
"296",11,"discover",14,"3L",9,0.65
"298",11,"be right",6,"19H",39,0.71
"299",11,"hear",16,"2H",25,0.74
"300",11,"confirm",4,"17H",21,0.67
"301",11,"be annoyed",9,"10L",36,0.04
"302",11,"demonstrate",18,"11L",11,0.08
"303",11,"confess",20,"1L",37,0.01
"304",11,"think",7,"12L",28,0.11
"305",11,"establish",1,"9L",16,0.24
"306",11,"say",8,"13H",8,0.76
"307",11,"pretend",15,"15L",7,0.24
"308",11,"admit",13,"5L",38,0.26
"310",11,"announce",10,"14H",22,0.54
"311",11,"inform",12,"8H",1,0.44
"312",11,"suggest",17,"7H",24,0.35
"314",12,"admit",13,"6L",30,0.46
"315",12,"be annoyed",9,"5L",38,0.68
"316",12,"pretend",15,"4L",12,0.16
"317",12,"hear",16,"13H",8,0.68
"319",12,"be right",6,"12H",2,0.46
"320",12,"think",7,"11H",29,0.39
"322",12,"acknowledge",5,"1H",13,0.74
"323",12,"confess",20,"3L",9,0.52
"324",12,"demonstrate",18,"7H",24,0.63
"325",12,"establish",1,"9L",16,0.57
"326",12,"say",8,"10L",36,0.47
"327",12,"know",11,"8H",1,0.89
"328",12,"suggest",17,"18H",6,0.51
"329",12,"reveal",3,"15L",7,0.63
"330",12,"see",19,"2H",25,0.93
"331",12,"confirm",4,"16L",31,0.48
"333",12,"inform",12,"14H",22,0.44
"334",12,"announce",10,"20L",27,0.4
"335",12,"prove",2,"17H",21,0.33
"338",12,"discover",14,"19L",4,0.83
"339",13,"demonstrate",18,"12H",2,0.04
"340",13,"confirm",4,"19L",4,0.02
"341",13,"be right",6,"14L",14,0.04
"342",13,"discover",14,"5L",38,0.01
"343",13,"prove",2,"2L",10,0
"346",13,"inform",12,"8H",1,0.97
"347",13,"establish",1,"7L",19,0
"348",13,"see",19,"13H",8,0.97
"350",13,"suggest",17,"6H",5,0.03
"351",13,"reveal",3,"17H",21,0.95
"352",13,"announce",10,"20H",3,0.58
"353",13,"think",7,"10L",36,0.03
"355",13,"say",8,"16H",17,0.52
"357",13,"pretend",15,"9L",16,0.18
"358",13,"acknowledge",5,"15H",34,0.89
"359",13,"hear",16,"4L",12,0.97
"360",13,"confess",20,"1L",37,0.32
"361",13,"be annoyed",9,"3H",33,0.93
"362",13,"admit",13,"11H",29,0.81
"364",13,"know",11,"18L",32,0.88
"366",14,"inform",12,"14L",14,0.26
"367",14,"discover",14,"11L",11,0.07
"368",14,"reveal",3,"20L",27,0.05
"369",14,"demonstrate",18,"18H",6,0.8
"370",14,"say",8,"10H",18,0.82
"371",14,"think",7,"4L",12,0.08
"373",14,"admit",13,"19H",39,0.84
"374",14,"establish",1,"8H",1,0.73
"375",14,"know",11,"13L",26,0.09
"378",14,"pretend",15,"7L",19,0
"379",14,"announce",10,"3H",33,0.91
"380",14,"prove",2,"5L",38,0
"381",14,"confess",20,"12H",2,0.8
"382",14,"acknowledge",5,"1L",37,0
"383",14,"confirm",4,"2H",25,0.71
"384",14,"suggest",17,"15L",7,0
"385",14,"be annoyed",9,"9H",35,0.89
"388",14,"be right",6,"16H",17,0.79
"389",14,"see",19,"17L",15,0.05
"390",14,"hear",16,"6H",5,0.67
"391",15,"see",19,"16H",17,0.98
"394",15,"inform",12,"14L",14,1
"395",15,"hear",16,"5L",38,0.98
"396",15,"suggest",17,"8H",1,0.01
"397",15,"discover",14,"7H",24,1
"398",15,"reveal",3,"4H",40,1
"399",15,"acknowledge",5,"11H",29,0.99
"400",15,"say",8,"18H",6,0.01
"402",15,"pretend",15,"20L",27,0.03
"403",15,"establish",1,"6L",30,0.01
"404",15,"confess",20,"9H",35,0.97
"405",15,"think",7,"10L",36,0
"406",15,"be right",6,"12L",28,0
"407",15,"demonstrate",18,"1H",13,0.02
"408",15,"know",11,"19H",39,0.98
"411",15,"announce",10,"15L",7,0.97
"413",15,"be annoyed",9,"2L",10,1
"414",15,"admit",13,"3H",33,1
"415",15,"confirm",4,"17L",15,0
"416",15,"prove",2,"13L",26,0
"417",16,"hear",16,"4H",40,0.86
"418",16,"establish",1,"2H",25,0.42
"419",16,"prove",2,"12L",28,0.54
"420",16,"say",8,"3H",33,0.31
"421",16,"demonstrate",18,"11L",11,0.31
"422",16,"admit",13,"20H",3,0.61
"423",16,"inform",12,"18L",32,0.86
"424",16,"confirm",4,"9L",16,0.34
"425",16,"see",19,"1H",13,1
"426",16,"reveal",3,"19H",39,0.68
"427",16,"know",11,"17H",21,0.78
"429",16,"acknowledge",5,"14H",22,0.86
"430",16,"think",7,"15L",7,0.21
"431",16,"be annoyed",9,"10L",36,0.91
"432",16,"suggest",17,"13L",26,0.2
"434",16,"pretend",15,"16L",31,0.04
"435",16,"confess",20,"5L",38,0.41
"436",16,"announce",10,"7L",19,0.65
"440",16,"discover",14,"8H",1,0.69
"442",16,"be right",6,"6H",5,0.55
"443",17,"see",19,"5H",20,0.77
"444",17,"discover",14,"10H",18,0.78
"445",17,"pretend",15,"20L",27,0.14
"447",17,"think",7,"7L",19,0.06
"448",17,"prove",2,"9H",35,0.3
"449",17,"know",11,"6H",5,0.71
"451",17,"hear",16,"16L",31,0.78
"454",17,"inform",12,"19H",39,0.71
"456",17,"say",8,"17L",15,0
"457",17,"confirm",4,"4H",40,0.18
"458",17,"be annoyed",9,"1H",13,0.89
"460",17,"announce",10,"13L",26,0.07
"461",17,"be right",6,"8L",23,0.23
"462",17,"demonstrate",18,"3H",33,0.65
"463",17,"confess",20,"18H",6,0.64
"464",17,"establish",1,"15L",7,0.15
"465",17,"acknowledge",5,"12H",2,0.67
"466",17,"admit",13,"2L",10,0.13
"467",17,"suggest",17,"11L",11,0.08
"468",17,"reveal",3,"14L",14,0
"470",18,"inform",12,"3H",33,0.68
"471",18,"admit",13,"13H",8,0.71
"472",18,"prove",2,"20L",27,0
"473",18,"suggest",17,"11H",29,0.53
"474",18,"acknowledge",5,"17L",15,0.49
"476",18,"pretend",15,"6L",30,0
"478",18,"hear",16,"15L",7,0.17
"479",18,"think",7,"19L",4,0
"480",18,"know",11,"18H",6,0.64
"482",18,"be right",6,"7H",24,0
"483",18,"confirm",4,"8H",1,0.49
"484",18,"see",19,"1L",37,0.68
"485",18,"say",8,"16H",17,0.18
"486",18,"reveal",3,"4H",40,0.87
"487",18,"demonstrate",18,"2L",10,0
"490",18,"discover",14,"5L",38,0.77
"491",18,"confess",20,"10H",18,0.74
"492",18,"be annoyed",9,"12L",28,0.51
"493",18,"announce",10,"9H",35,0.91
"494",18,"establish",1,"14L",14,0.21
"495",19,"know",11,"4L",12,0.81
"496",19,"announce",10,"20H",3,0.23
"498",19,"discover",14,"11L",11,0.51
"501",19,"reveal",3,"2H",25,0.48
"502",19,"say",8,"8H",1,0.51
"503",19,"inform",12,"10L",36,0.47
"504",19,"confess",20,"6L",30,0.73
"506",19,"admit",13,"19H",39,0.35
"507",19,"be right",6,"3L",9,0.33
"508",19,"suggest",17,"15H",34,0.31
"509",19,"prove",2,"18L",32,0.34
"510",19,"see",19,"12H",2,0.69
"511",19,"pretend",15,"9H",35,0.61
"512",19,"confirm",4,"5H",20,0.25
"514",19,"demonstrate",18,"16L",31,0.29
"515",19,"acknowledge",5,"17H",21,0.57
"516",19,"hear",16,"7L",19,0.59
"517",19,"think",7,"1L",37,0.49
"519",19,"establish",1,"13H",8,0.31
"520",19,"be annoyed",9,"14L",14,0.39
"521",20,"hear",16,"1H",13,0.99
"522",20,"confirm",4,"20L",27,0
"523",20,"admit",13,"12H",2,0
"525",20,"be right",6,"15L",7,0
"526",20,"say",8,"7H",24,0.1
"527",20,"suggest",17,"6L",30,0
"529",20,"pretend",15,"14L",14,0
"530",20,"demonstrate",18,"5H",20,0.58
"531",20,"reveal",3,"9H",35,0.09
"532",20,"announce",10,"10L",36,0
"533",20,"know",11,"18H",6,0.56
"535",20,"discover",14,"16L",31,0.05
"536",20,"acknowledge",5,"17H",21,0.59
"537",20,"establish",1,"3L",9,0.01
"538",20,"see",19,"8H",1,0.34
"539",20,"think",7,"13L",26,0
"540",20,"inform",12,"2H",25,0.61
"541",20,"be annoyed",9,"4L",12,0
"544",20,"prove",2,"11L",11,0.02
"546",20,"confess",20,"19H",39,0.8
"547",21,"know",11,"10H",18,0.3
"548",21,"admit",13,"19H",39,0.7
"549",21,"reveal",3,"9L",16,0.24
"550",21,"announce",10,"4H",40,0.62
"552",21,"say",8,"11L",11,0.27
"554",21,"be right",6,"1H",13,0.99
"555",21,"demonstrate",18,"18L",32,0.17
"556",21,"confess",20,"2H",25,0.9
"558",21,"suggest",17,"5L",38,0.11
"559",21,"prove",2,"7H",24,0.5
"560",21,"be annoyed",9,"20H",3,0.99
"562",21,"think",7,"3H",33,0.3
"563",21,"confirm",4,"15L",7,0.48
"565",21,"discover",14,"16L",31,0.5
"566",21,"establish",1,"12L",28,0.34
"567",21,"inform",12,"17L",15,0.18
"568",21,"pretend",15,"6L",30,0.29
"569",21,"acknowledge",5,"13L",26,0.09
"570",21,"hear",16,"14H",22,0.73
"571",21,"see",19,"8H",1,0.22
"573",22,"hear",16,"20H",3,0.91
"574",22,"acknowledge",5,"17H",21,0.21
"575",22,"say",8,"1H",13,0.53
"576",22,"see",19,"8L",23,0.53
"577",22,"discover",14,"2L",10,0.37
"578",22,"announce",10,"10L",36,0.43
"579",22,"establish",1,"12H",2,0.26
"580",22,"admit",13,"14H",22,0.55
"581",22,"demonstrate",18,"15L",7,0.3
"583",22,"pretend",15,"18L",32,0.32
"584",22,"confirm",4,"11H",29,0.47
"585",22,"confess",20,"13H",8,0.34
"586",22,"reveal",3,"6H",5,0.37
"587",22,"suggest",17,"4L",12,0.26
"590",22,"think",7,"3L",9,0.18
"592",22,"prove",2,"16L",31,0.2
"593",22,"be annoyed",9,"19H",39,0.72
"594",22,"know",11,"9L",16,0.67
"596",22,"inform",12,"5L",38,0.24
"598",22,"be right",6,"7H",24,0.16
"599",23,"discover",14,"8L",23,0.11
"600",23,"be annoyed",9,"16L",31,0.23
"602",23,"acknowledge",5,"11H",29,0.33
"603",23,"say",8,"15H",34,0.42
"604",23,"reveal",3,"20L",27,0.64
"605",23,"inform",12,"10H",18,0.58
"606",23,"establish",1,"9H",35,0.42
"607",23,"see",19,"5H",20,0.63
"608",23,"prove",2,"6H",5,0.35
"609",23,"confirm",4,"18L",32,0.16
"610",23,"demonstrate",18,"7L",19,0.35
"611",23,"hear",16,"19H",39,0.71
"612",23,"pretend",15,"1H",13,0.85
"613",23,"know",11,"13L",26,0.11
"615",23,"admit",13,"3H",33,0.46
"617",23,"think",7,"17H",21,0.62
"619",23,"suggest",17,"14L",14,0.51
"620",23,"confess",20,"4L",12,0.44
"622",23,"be right",6,"12L",28,0.12
"624",23,"announce",10,"2L",10,0.34
"626",24,"inform",12,"18H",6,0.94
"627",24,"pretend",15,"14L",14,0.01
"628",24,"announce",10,"8L",23,0.01
"629",24,"confirm",4,"6H",5,0.44
"630",24,"prove",2,"5H",20,0.46
"634",24,"confess",20,"11L",11,0.16
"635",24,"be right",6,"13L",26,0
"636",24,"think",7,"16H",17,0.1
"637",24,"be annoyed",9,"12H",2,0.89
"638",24,"say",8,"15H",34,0.69
"639",24,"acknowledge",5,"20H",3,0.98
"640",24,"reveal",3,"2H",25,0.89
"641",24,"admit",13,"9L",16,0.31
"643",24,"know",11,"19L",4,0.99
"645",24,"demonstrate",18,"10H",18,0.67
"646",24,"hear",16,"3L",9,0.77
"647",24,"see",19,"17L",15,0.9
"648",24,"suggest",17,"1H",13,0.99
"649",24,"establish",1,"7L",19,0.32
"650",24,"discover",14,"4L",12,0.8
"651",25,"say",8,"9H",35,0.22
"652",25,"establish",1,"15H",34,0.1
"653",25,"acknowledge",5,"5H",20,0.14
"655",25,"reveal",3,"14H",22,0.63
"656",25,"suggest",17,"8L",23,0.18
"657",25,"pretend",15,"17L",15,0
"658",25,"prove",2,"2L",10,0.11
"659",25,"confirm",4,"6L",30,0.16
"660",25,"be annoyed",9,"12H",2,1
"661",25,"hear",16,"3H",33,0.82
"662",25,"think",7,"11H",29,0.1
"664",25,"announce",10,"10L",36,0.73
"665",25,"know",11,"19L",4,1
"667",25,"see",19,"1L",37,1
"668",25,"confess",20,"18L",32,0.36
"669",25,"admit",13,"4H",40,0.72
"670",25,"discover",14,"13L",26,0.22
"672",25,"demonstrate",18,"7H",24,0.16
"673",25,"be right",6,"16L",31,0
"674",25,"inform",12,"20H",3,0.9
"677",26,"pretend",15,"18L",32,0.02
"678",26,"announce",10,"12L",28,0.01
"679",26,"be right",6,"3L",9,0.02
"680",26,"inform",12,"15L",7,0.9
"683",26,"see",19,"6H",5,0.99
"684",26,"reveal",3,"9H",35,0.51
"685",26,"acknowledge",5,"20L",27,0.5
"687",26,"hear",16,"5H",20,0.5
"688",26,"be annoyed",9,"4L",12,0.97
"689",26,"establish",1,"16L",31,0.49
"690",26,"think",7,"14H",22,0.01
"691",26,"admit",13,"10H",18,0.99
"692",26,"confess",20,"8L",23,0.99
"696",26,"confirm",4,"1L",37,0.49
"697",26,"prove",2,"2L",10,0.01
"698",26,"say",8,"19H",39,0.01
"699",26,"discover",14,"7H",24,0.03
"700",26,"demonstrate",18,"13H",8,0.47
"701",26,"suggest",17,"11H",29,0.02
"702",26,"know",11,"17H",21,0.99
"703",27,"acknowledge",5,"19H",39,0.9
"704",27,"know",11,"20L",27,0.1
"705",27,"be annoyed",9,"7H",24,0.13
"706",27,"see",19,"6H",5,0.18
"707",27,"confirm",4,"17L",15,0
"710",27,"admit",13,"5L",38,0.32
"711",27,"inform",12,"3L",9,0.29
"712",27,"confess",20,"10L",36,0
"714",27,"pretend",15,"9H",35,0.35
"715",27,"say",8,"8H",1,0.78
"716",27,"be right",6,"11L",11,0.44
"717",27,"prove",2,"4H",40,0.66
"719",27,"demonstrate",18,"1H",13,0.84
"720",27,"reveal",3,"13H",8,0.97
"721",27,"discover",14,"18L",32,0.26
"723",27,"announce",10,"2H",25,0.51
"725",27,"hear",16,"14L",14,0.33
"726",27,"think",7,"15L",7,0.06
"727",27,"suggest",17,"12H",2,0.49
"728",27,"establish",1,"16L",31,0.03
"730",28,"say",8,"6L",30,0.23
"731",28,"acknowledge",5,"17H",21,0.73
"733",28,"admit",13,"7H",24,0.66
"734",28,"discover",14,"9L",16,0.67
"735",28,"announce",10,"15H",34,0.78
"736",28,"confess",20,"5L",38,0.66
"738",28,"hear",16,"20L",27,0.24
"739",28,"suggest",17,"19L",4,0.08
"740",28,"establish",1,"4L",12,0.16
"742",28,"know",11,"16H",17,0.61
"743",28,"prove",2,"12H",2,0.32
"744",28,"inform",12,"14L",14,0.15
"745",28,"demonstrate",18,"18H",6,0.72
"747",28,"pretend",15,"11H",29,0.59
"748",28,"reveal",3,"1H",13,0.78
"750",28,"be right",6,"8H",1,0.4
"751",28,"be annoyed",9,"10L",36,0.15
"752",28,"think",7,"13L",26,0.18
"753",28,"confirm",4,"3H",33,0.63
"754",28,"see",19,"2L",10,0.19
"782",29,"acknowledge",5,"1L",37,0.03
"785",29,"be right",6,"9H",35,0.04
"787",29,"see",19,"7H",24,0
"788",29,"inform",12,"18L",32,0.01
"789",29,"be annoyed",9,"20H",3,1
"790",29,"say",8,"8H",1,0
"791",29,"establish",1,"15L",7,0.04
"792",29,"hear",16,"6L",30,0
"793",29,"think",7,"14L",14,0
"794",29,"prove",2,"4H",40,0.09
"795",29,"discover",14,"5L",38,0
"796",29,"confirm",4,"2H",25,0.63
"797",29,"suggest",17,"13H",8,0.93
"799",29,"confess",20,"10L",36,0
"800",29,"know",11,"19H",39,0.98
"801",29,"admit",13,"17H",21,0.78
"803",29,"announce",10,"11L",11,0.03
"804",29,"demonstrate",18,"12L",28,0
"805",29,"pretend",15,"16L",31,0
"806",29,"reveal",3,"3H",33,0.98
"807",30,"admit",13,"6L",30,0.01
"808",30,"demonstrate",18,"16H",17,0.01
"809",30,"acknowledge",5,"10H",18,0.51
"811",30,"think",7,"12H",2,0.02
"812",30,"reveal",3,"8L",23,0.03
"813",30,"know",11,"4L",12,0.96
"814",30,"be annoyed",9,"17H",21,0.98
"817",30,"announce",10,"5L",38,0.01
"818",30,"hear",16,"15H",34,0.96
"820",30,"suggest",17,"7H",24,0
"821",30,"confess",20,"20L",27,0
"822",30,"confirm",4,"3H",33,0.01
"824",30,"discover",14,"18L",32,0.99
"825",30,"see",19,"9L",16,0.96
"827",30,"inform",12,"2H",25,0.98
"828",30,"prove",2,"1L",37,0.02
"829",30,"be right",6,"13L",26,0.01
"830",30,"establish",1,"14L",14,0.02
"831",30,"say",8,"11H",29,0.03
"832",30,"pretend",15,"19H",39,0.02
"833",31,"demonstrate",18,"2H",25,0.01
"836",31,"see",19,"17L",15,0.93
"838",31,"confess",20,"7L",19,0.99
"839",31,"be annoyed",9,"10H",18,0.98
"840",31,"admit",13,"14H",22,0.99
"841",31,"be right",6,"15H",34,0.03
"842",31,"announce",10,"16L",31,0.96
"843",31,"reveal",3,"6H",5,0.96
"844",31,"establish",1,"8L",23,0.03
"846",31,"inform",12,"11H",29,0.93
"847",31,"discover",14,"20H",3,0.98
"848",31,"say",8,"9H",35,0.45
"849",31,"pretend",15,"1H",13,0.01
"850",31,"hear",16,"5L",38,0.97
"851",31,"acknowledge",5,"12L",28,0.24
"854",31,"suggest",17,"19L",4,0.13
"855",31,"think",7,"18L",32,0.04
"856",31,"confirm",4,"4H",40,0.72
"857",31,"prove",2,"3L",9,0.51
"858",31,"know",11,"13L",26,0.55
"860",32,"see",19,"5H",20,0.91
"861",32,"confirm",4,"13H",8,0.32
"862",32,"be annoyed",9,"2L",10,0.7
"863",32,"hear",16,"6H",5,0.64
"864",32,"admit",13,"8L",23,0.36
"865",32,"discover",14,"7H",24,0.6
"866",32,"prove",2,"1H",13,0.74
"868",32,"say",8,"9L",16,0.21
"869",32,"know",11,"15H",34,0.67
"870",32,"suggest",17,"20H",3,0.79
"873",32,"establish",1,"17L",15,0.08
"875",32,"be right",6,"18H",6,0.38
"876",32,"pretend",15,"10L",36,0.06
"877",32,"acknowledge",5,"12L",28,0.11
"879",32,"demonstrate",18,"3L",9,0.12
"880",32,"confess",20,"4H",40,0.38
"881",32,"inform",12,"14L",14,0.05
"882",32,"reveal",3,"11L",11,0.4
"883",32,"announce",10,"16H",17,0.59
"884",32,"think",7,"19L",4,0
"885",33,"think",7,"4H",40,0.21
"886",33,"prove",2,"12L",28,0.01
"889",33,"establish",1,"20L",27,0
"891",33,"confirm",4,"2L",10,0
"892",33,"announce",10,"16H",17,0.79
"893",33,"inform",12,"19L",4,0.99
"894",33,"acknowledge",5,"8H",1,1
"895",33,"say",8,"11L",11,0
"896",33,"pretend",15,"1L",37,0.01
"897",33,"discover",14,"13L",26,1
"898",33,"know",11,"9H",35,1
"899",33,"hear",16,"17L",15,1
"900",33,"confess",20,"3H",33,1
"901",33,"admit",13,"7H",24,1
"902",33,"reveal",3,"10H",18,1
"903",33,"see",19,"5L",38,1
"905",33,"be right",6,"6H",5,0
"906",33,"suggest",17,"18H",6,0.17
"908",33,"demonstrate",18,"14L",14,0.27
